MovieId,Title,Tmdb_id,vote_average,vote_count,popularity,overview,,,,,,,,,,,,,,
303,Fences,393457,6.7,1240,10.13,"In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family.",,,,,,,,,,,,,,
304,Fender Bender,397278,5.3,45,2.519,"In a small New Mexico town, a 17-year-old high school girl who just got her driver’s license gets into her first Fender Bender, innocently exchanging her personal information with an apologetic stranger.  Later that stormy night, she is joined in her desolate suburban home by a couple of her school friends who try their best to make a night out of it, only to be visited by the stranger she so willingly handed all of her information to — a terrifying and bizarre serial killer who stalks the country’s endless miles of roads and streets with his old rusty car, hungrily searching for his next unsuspecting victim.",,,,,,,,,,,,,,
305,Finding Dory,127380,7,6857,17.796,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,,,,,,,,,,,,,,
306,The Finest Hours,300673,6.4,847,8.063,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,,,,,,,,,,,,,,
307,Florence Foster Jenkins,315664,6.7,751,6.703,"The story of Florence Foster Jenkins, a New York heiress, who dreamed of becoming an opera singer, despite having a terrible singing voice.",,,,,,,,,,,,,,
308,The Forest (2016),Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
308,The Forest (2016),Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
309,Found Footage 3D,353419,4.9,34,1.31,"A group of filmmakers sets out to make the first 3D found footage horror movie, but find themselves IN the first 3D found footage horror movie when the evil entity from their film escapes into their behind-the-scenes footage.",,,,,,,,,,,,,,
310,The Founder,310307,7,1732,10.612,"The true story of how Ray Kroc, a salesman from Illinois, met Mac and Dick McDonald, who were running a burger operation in 1950s Southern California. Kroc was impressed by the brothers’ speedy system of making the food and saw franchise potential. He maneuvered himself into a position to be able to pull the company from the brothers and create a billion-dollar empire.",,,,,,,,,,,,,,
310,The Founder,334771,8,2,0.6,,,,,,,,,,,,,,,
311,Free State of Jones,316152,6.6,664,7.45,"In 1863, Mississippi farmer Newt Knight serves as a medic for the Confederate Army. Opposed to slavery, Knight would rather help the wounded than fight the Union. After his nephew dies in battle, Newt returns home to Jones County to safeguard his family but is soon branded an outlaw deserter. Forced to flee, he finds refuge with a group of runaway slaves hiding out in the swamps. Forging an alliance with the slaves and other farmers, Knight leads a rebellion that would forever change history.",,,,,,,,,,,,,,
312,Get a Job,186759,5.3,342,5.863,"A recent college graduate and his friends are forced to lower life expectations when they leave school for the real world. Life after college graduation is not exactly going as planned for Will and Jillian who find themselves lost in a sea of increasingly strange jobs. But with help from their family, friends and coworkers they soon discover that the most important (and hilarious) adventures are the ones that we don't see coming.",,,,,,,,,,,,,,
312,Get a Job,123171,0,0,0.6,"In order to save his own job, an employment agent has to find work for the most unemployable man on Maui.",,,,,,,,,,,,,,
313,Ghostbusters (2016),Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
313,Ghostbusters (2016),Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
314,The Girl on the Train,346685,6.3,2985,9.197,"Rachel Watson, devastated by her recent divorce, spends her daily commute fantasizing about the seemingly perfect couple who live in a house that her train passes every day, until one morning she sees something shocking happen there and becomes entangled in the mystery that unfolds.",,,,,,,,,,,,,,
314,The Girl on the Train,241261,5.7,23,1.702,"When documentary filmmaker Danny Hart boards a train at Grand Central Station he has no reason to expect anything more than a pleasant ride to upstate New York to interview the subjects for his latest project. But a chance encounter with a mysterious young woman leads him on a journey of a very different sort. Within the blink of an eye his life of complacency is left behind for a world in which the line between fantasy and reality is blurred...a world of intrigue, danger, and the possibility of blood",,,,,,,,,,,,,,
315,The Girl With All the Gifts,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
316,Giuoco Terapia,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
316,Giuoco Terapia,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
317,God's Not Dead 2,347126,5.8,157,5.777,"When a high school teacher is asked a question in class about Jesus, her reasoned response lands her in deep trouble and could expel God from the public square once and for all.",,,,,,,,,,,,,,
318,Gods of Egypt,205584,5.4,2035,10.408,A common thief joins a mythical god on a quest through Egypt.,,,,,,,,,,,,,,
319,The Greasy Strangler,320413,5.9,69,3.038,"Ronnie runs a Disco walking tour with his son, Brayden. When a sexy woman takes the tour, it begins a competition between father and son for her love. It also signals the arrival of an oily strangler who stalks the streets at night.",,,,,,,,,,,,,,
320,The Great Wall,311324,5.8,2384,21.032,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,,,,,,,,,,,,,,
320,The Great Wall,332694,1,1,1.132,"‘The Great Wall has been completed at its most southerly point.’ So begins Kafka’s short story ‘At the Building of the Great Wall of China’, and so, at Europe’s heavily militarised south-eastern frontier, begins this film.  In the shadow of its own narratives of freedom, Europe has been quietly building its own great wall. Like its famous Chinese precursor, this wall has been piecemeal in construction, diverse in form and dubious in utility. Gradually cohering across the continent, this system of enclosure and exclusion is urged upon a populace seemingly willing to accept its necessity and to contribute to its building.",,,,,,,,,,,,,,
321,Green Room,313922,6.8,1095,6.601,"A punk rock band becomes trapped in a secluded venue after finding a scene of violence. For what they saw, the band themselves become targets of violence from a gang of white power skinheads, who want to eliminate all evidence of the crime.",,,,,,,,,,,,,,
322,Grimsby,267193,5.8,1130,8.539,"Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot.",,,,,,,,,,,,,,
323,Hacksaw Ridge,324786,8,5679,20.448,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",,,,,,,,,,,,,,
324,Hail, Caesar!,270487,5.8,2034,10.403,"Tells the comedic tale of Eddie Mannix, a fixer who worked for the Hollywood studios in the 1950s. The story finds him at work when a star mysteriously disappears in the middle of filming.",,,,,,,,,,,,,
325,The Handmaiden,290098,8.3,965,13.241,"1930s Korea, in the period of Japanese occupation, a young woman is hired as a handmaiden to a Japanese heiress who lives a secluded life on a large countryside estate with her domineering uncle. But, the maid has a secret: she is a pickpocket recruited by a swindler posing as a Japanese count to help him seduce the heiress to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until the women discover some unexpected emotions.",,,,,,,,,,,,,,
326,Hands of Stone,184341,5.9,152,6.066,The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.,,,,,,,,,,,,,,
327,Hardcore Henry,325348,6.2,1148,9.034,"Henry, a newly resurrected cyborg who must save his wife/creator from the clutches of a psychotic tyrant with telekinetic powers, AKAN, and his army of mercenaries. Fighting alongside Henry is Jimmy, who is Henry's only hope to make it through the day. Hardcore takes place over the course of one day, in Moscow, Russia.",,,,,,,,,,,,,,
328,The Hateful 8,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
329,Hell House LLC,359246,6.4,85,4.829,"Five years after an unexplained malfunction causes the death of 15 tour-goers and staff on the opening night of a Halloween haunted house tour, a documentary crew travels back to the scene of the tragedy to find out what really happened.",,,,,,,,,,,,,,
330,Hell or High Water,338766,7.2,2113,11.68,A divorced dad and his ex-con brother resort to a desperate scheme in order to save their family's farm in West Texas.,,,,,,,,,,,,,,
331,Hidden Figures,381284,8,3984,20.172,"The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",,,,,,,,,,,,,,
332,Holidays,323262,4.8,204,6.126,"An anthology feature film that puts a uniquely dark and original spin on some of the most iconic and beloved holidays of all time by challenging our folklore, traditions and assumptions.",,,,,,,,,,,,,,
332,Holidays,303081,0,0,0.6,"Film starring Bhargavi, Brahmanandam and Siva Nag",,,,,,,,,,,,,,
332,Holidays,508658,0,0,0.6,A girl with two brothers rides a car in the winter Crimea - it's good to understand with whom she should be and what she should be.,,,,,,,,,,,,,,
333,House by the Lake,433651,3.5,4,0.643,"The Morgans, a loving yet troubled family, go on vacation with intentions to reconnect with one another. However, when their autistic 10-year-old daughter begins to fixate on a mysterious friend who may or may not be real, and retreats further into her own world, family tensions start to rise to the surface.",,,,,,,,,,,,,,
334,Howard Lovecraft and the Frozen Kingdom,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
335,Hunt for the Wilderpeople,371645,7.8,790,10.099,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",,,,,,,,,,,,,,
336,Hurricane Bianca,400547,6.3,149,5.113,"Hurricane Bianca is a revenge comedy about a New York teacher who moves to a small town in Texas, gets fired for being gay, and returns disguised in drag to get revenge on the people who were nasty to him.",,,,,,,,,,,,,,
337,Hush,376570,6.8,1587,6.908,A deaf woman is stalked by a psychotic killer in her secluded home.,,,,,,,,,,,,,,
337,Hush,386219,6,1,0.631,"In the wake of her husband's betrayal, a novelist and mother moves to an old building, where she receives a music box and encounters a strange spirit.",,,,,,,,,,,,,,
337,Hush,532037,0,0,0.6,"“Secrets are such ugly, poisonous seeds hiding in the pit of your brain.”",,,,,,,,,,,,,,
337,Hush,467110,6,1,0.6,A young college graduate discovers the house she is sitting is possessed by a malevolent entity.,,,,,,,,,,,,,,
337,Hush,149868,6.5,1,0.6,"No movie overview available, please add one at themoviedb.org",,,,,,,,,,,,,,
338,I Am Not a Serial Killer,381034,6.2,213,6.725,"Fifteen-year old John Cleaver is dangerous, and he knows it. He’s obsessed with serial killers, but really doesn’t want to become one. Terrible impulses constantly tempt him, so for his own sake, and the safety of those around, he lives by rigid rules to keep himself “good” and “normal”. However, when a real monster shows up in his town he has to let his dark side out in order to stop it – but without his rules to keep him in check, he might be more dangerous than the monster he’s trying to kill.",,,,,,,,,,,,,,
339,I Am Not Your Negro,411019,8,172,5.189,"Working from the text of James Baldwin’s unfinished final novel, director Raoul Peck creates a meditation on what it means to be Black in the United States.",,,,,,,,,,,,,,
340,I Am the Pretty Thing That Lives in the House,407559,4.1,240,8.011,A young nurse takes care of elderly author who lives in a haunted house.,,,,,,,,,,,,,,
341,I, Daniel Blake,374473,7.7,518,6.034,"A middle aged carpenter, who requires state welfare after injuring himself, is joined by a single mother in a similar scenario.",,,,,,,,,,,,,
342,I'm Not Ashamed,409502,6.8,61,4.4,Based on the inspiring and powerful true story and journal entries of Rachel Joy Scott- the first student killed in the Columbine high school shooting in 1999.,,,,,,,,,,,,,,
343,Imperium,374617,6.4,612,7.761,"Nate Foster, a young, idealistic FBI agent, goes undercover to take down a radical white supremacy terrorist group. The bright up-and-coming analyst must confront the challenge of sticking to a new identity while maintaining his real principles as he navigates the dangerous underworld of white supremacy. Inspired by real events.",,,,,,,,,,,,,,
344,In This Corner of the World,378108,8.1,136,7.468,"Newlywed Suzu Urano moves to her new life in Kure City on the coast of Hiroshima Prefecture, where she perseveres through World War II with pluck and determination.",,,,,,,,,,,,,,
345,Independence Day: Resurgence,47933,5,3553,13.749,"We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",,,,,,,,,,,,,,
346,Inferno,207932,5.8,3412,14.359,"After waking up in a hospital with amnesia, professor Robert Langdon and a doctor must race against time to foil a deadly global plot.",,,,,,,,,,,,,,
347,The Intervention,351242,6.1,90,4.403,A weekend getaway for four couples takes a sharp turn when one of the couples discovers the entire trip was orchestrated to host an intervention on their marriage.,,,,,,,,,,,,,,
347,The Intervention,557320,0,0,0.952,All good things must come to an end. Or do they? Adam Green comes face to face(s) with one of his worst nightmares in the 20th annual ArieScope Halloween short film.,,,,,,,,,,,,,,
348,The Invisible Guest,411088,8.2,1148,15.576,The Invisible Guest” turns on a young businessman who wakes up in a hotel room locked from the inside with the dead body of his lover next to him. He hires a prestigious lawyer," and over one night they work together to clarify what happened in a frenetic race against time.""",,,,,,,,,,,,,
349,Jackie,376866,6.5,1247,6.891,"An account of the days of First Lady, Jacqueline Kennedy, in the immediate aftermath of John F. Kennedy's assassination in 1963.",,,,,,,,,,,,,,
349,Jackie,107178,6.6,22,1.364,Dutch twin sisters travel to America to look for their long-lost mother.,,,,,,,,,,,,,,
349,Jackie,345755,0,0,0.6,Taxi driver Rolf fears losing his wife Turid and sees her new colleague as a threat.,,,,,,,,,,,,,,
350,Jealous Gods,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
350,Jealous Gods,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
351,The Jungle Book,278927,6.8,4552,14.336,"A man-cub named Mowgli fostered by wolves. After a threat from the tiger Shere Khan, Mowgli is forced to flee the jungle, by which he embarks on a journey of self discovery with the help of the panther, Bagheera and the free-spirited bear, Baloo.",,,,,,,,,,,,,,
352,Keanu,342521,5.9,594,6.484,Friends hatch a plot to retrieve a stolen cat by posing as drug dealers for a street gang.,,,,,,,,,,,,,,
353,Kedi,392011,7.5,85,4.642,"A profile of an ancient city and its unique people, seen through the eyes of the most mysterious and beloved animal humans have ever known, the Cat.",,,,,,,,,,,,,,
353,Kedi,41337,4.8,2,0.6,"Ramesh, nicknamed Rummy (Nagarjuna) loves his childhood friend Janaki, who asks him to become rich and powerful before marrying her. With this motive, Rummy starts gambling and becomes rich in no time.  ACP Sekhar (Sayaji Shinde) takes notice of his activities and attempts to catch him. Rummy then moves to Goa where he meets Chandra (Ankur), a pub owner who also runs gambling in it. Both of them enter into a deal. While on the task, Rummy rescues Sara (Paula) from Victor. Sara’s sister Nadia (Linda) falls in love with him. Another woman, Sandhya (Mamta Mohandas), enters his life. She helps him in his task. Meanwhile, differences arise between Rummy and Chandra, and they become rivals. How Rummy encounters the situation with Janaki forms the rest of the story [1]  [edit]",,,,,,,,,,,,,,
354,Keeping Up With The Joneses,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
355,Kingsglaive: Final Fantasy XV,390734,6.8,311,8.917,"The magical kingdom of Lucis is home to the world’s last remaining Crystal, and the menacing empire of Niflheim is determined to steal it. King Regis of Lucis commands an elite force of soldiers called the Kingsglaive. Wielding their king’s magic, they fight to protect Lucis. As the overwhelming military might of the empire bears down, King Regis is faced with an impossible ultimatum – to marry his son, Prince Noctis to Princess Lunafreya of Tenebrae, captive of Niflheim, and surrender his lands to Niflheim rule.  Although the king concedes, it becomes clear that the empire will stop at nothing to achieve their devious goals, with only the Kingsglaive standing between them and world domination.",,,,,,,,,,,,,,
356,Kubo and the Two Strings,313297,7.7,1689,13.631,"Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",,,,,,,,,,,,,,
357,La La Land,313369,7.9,8599,22.034,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",,,,,,,,,,,,,,
358,Lady Bloodfight,289269,6,43,5.881,"Jane is a beautiful but troubled American girl backpacking through Japan, when her raw street fighting skills draw the attention of Oshima, Japanese karate champion, who recruits and trains her to fight in the vicious, all-female, underground martial arts tournament known as The Kumite"". After months of rigorous preparation", Jane is ready to face off against the deadliest female fighters in the world, including Ling, the Chinese apprentice of Oshima's nemesis. But other nefarious forces lie in the shadows, and Jane and Ling will have to unite on a journey that will take them from the gritty underworld of Hong Kong to the glitz of Macao," before deciding who really is the best female fighter on the planet.""",,,,,,,,,
359,Lights Out,345911,6.3,1968,9.065,"When Rebecca left home, she thought she left her childhood fears behind. Growing up, she was never really sure of what was and wasn’t real when the lights went out…and now her little brother, Martin, is experiencing the same unexplained and terrifying events that had once tested her sanity and threatened her safety. A frightening entity with a mysterious attachment to their mother, Sophie, has reemerged.",,,,,,,,,,,,,,
359,Lights Out,259761,7.4,135,4.443,"A woman prepares for bed, but realizes that something may be lurking in the shadows.",,,,,,,,,,,,,,
359,Lights Out,59015,6.2,22,1.4,"March 1992, in a small town in the suburbs of Paris. During an alcohol fueled party, teenagers discover a body hidden in the bushes of a forest. A body that seems lifeless. Two weeks earlier. Simon, a 16 year-old teenager, has not shown up for class. Blood stains are found in a class-room. Run-away, kidnap, suicide, murder? A few days later, Laetitia, a student from the same class goes missing without her parents knowing where she has gone. A young girl with no dark background or connection to Simon. The next day, Jean-Baptiste, a third student, also disappears. Rumors start to spread. The psychosis begins...",,,,,,,,,,,,,,
360,Life, Animated,376233,7.8,67,2.846,"At three years old, a chatty, energetic little boy named Owen Suskind ceased to speak, disappearing into autism with apparently no way out. Almost four years passed and the only stimuli that engaged Owen were Disney films. Then one day, his father donned a puppet—Iago, the wisecracking parrot from Aladdin—and asked “what’s it like to be you?” And poof! Owen replied, with dialogue from the movie. Life, Animated tells the remarkable story of how Owen found in Disney animation a pathway to language and a framework for making sense of the world.",,,,,,,,,,,,,
361,The Limehouse Golem,369300,5.9,232,8.155,A series of murders has shaken the community to the point where people believe that only a legendary creature from dark times – the mythical Golem – must be responsible.,,,,,,,,,,,,,,
362,Lion,334543,8.1,3085,15.161,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",,,,,,,,,,,,,,
362,Lion,348655,7,1,0.6,"He (Balakrishna Nandamuri) gets injured and goes into coma at a hospital in Mumbai. When he wakes up he vaguely remembers what happened to him. He remembers himself as Bose. But, he is identified as Godse, CEO of a company in Mumbai. As he is having memory issues, he goes to Hyderabad to search for his past. He finds his parents and his lover. But they deny him. Are they his real parents or is it just a feeling of deja vu? Rest of the story is all about what led to his injury and how he fights his way back!",,,,,,,,,,,,,,
362,Lion,508261,0,0,0.6,,,,,,,,,,,,,,,
363,Little Door Gods,Not Available,Not Available,Not Available,Not Available,Not Available,,,,,,,,,,,,,,
364,Live by Night,259695,6.2,667,7.4,A story set in the Prohibition Era and centered around a group of individuals and their dealings in the world of organized crime.,,,,,,,,,,,,,,
365,L.O.R.D: Legend of Ravaging Dynasties,369552,5.8,9,3.972,"Based on the novel of the same name, the film depicts the endless battles of four kingdoms as they fight for power and domination of the one ultimate realm.Based on his 2 beloved fantasy novels with 6 million copies sold, L.O.R.D is acclaimed writer and director Guo Jingming’s follow up to his Tiny Times films.  The action-adventure odyssey is set in a world of warring Sorcerers, Lords and Beasts. The first CGI Film to come from China",,,,,,,,,,,,,,
366,The Love Witch,374052,6.2,135,5.496,"Elaine, a beautiful young witch, is determined to find a man to love her. In her gothic Victorian apartment she makes spells and potions, and then picks up men and seduces them. However her spells work too well, and she ends up with a string of hapless victims. When she finally meets the man of her dreams, her desperation to be loved will drive her to the brink of insanity and murder.",,,,,,,,,,,,,,
367,Loving,339419,6.7,469,7.382,"The story of Richard and Mildred Loving, an interracial couple, whose challenge of their anti-miscegenation arrest for their marriage in Virginia led to a legal battle that would end at the US Supreme Court.",,,,,,,,,,,,,,
368,The Magnificent Seven,333484,6.1,3260,14.812,Seven gun men in the old west gradually come together to help a poor village against savage thieves.,,,,,,,,,,,,,,
369,Manchester by the Sea,334541,7.5,2634,10.937,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",,,,,,,,,,,,,,
370,Mascots,368993,5.7,87,4.312,Eager contestants don big heads and furry suits to vie for the title of World's Best Mascot.,,,,,,,,,,,,,,
371,Maximum Ride,339116,4.6,146,5.481,"Six children genetically cross-bred with avian DNA, complete with wings, take flight around the country to discover their origins.",,,,,,,,,,,,,,
372,Max Steel,286567,5.1,350,7.195,"The adventures of teenager Max McGrath and alien companion Steel, who must harness and combine their tremendous new powers to evolve into the turbo-charged superhero Max Steel.",,,,,,,,,,,,,,
373,Me Before You,296096,7.7,4996,15.142,"A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",,,,,,,,,,,,,,
374,Middle Man,364060,6.3,8,0.664,"When a hapless, unfunny, wanna-be comedian picks up a mysterious hitchhiker on his way to Vegas to audition for the Monte Guy show, he unwittingly becomes trapped in a desert-town killing spree that also has a very unexpected consequence - it improves his comedy.",,,,,,,,,,,,,,
375,Midnight Special,245703,6.3,998,7.302,A father and son go on the run after the dad learns his child possesses special powers.,,,,,,,,,,,,,,
376,Mike and Dave Need Wedding Dates,316023,6,1372,12.68,"Mike and Dave are young, adventurous, fun-loving brothers who tend to get out of control at family gatherings. When their sister Jeanie reveals her Hawaiian wedding plans, the rest of the Stangles insist that the brothers bring respectable dates. After placing an ad on Craigslist, the siblings decide to pick Tatiana and Alice, two charming and seemingly normal women. Once they arrive on the island, however, Mike and Dave realize that their companions are ready to get wild and party.",,,,,,,,,,,,,,
377,Min & Max,435680,7.5,2,0.993,"The most sprouting height difference” is a campus love comedy, directed by Ma Kan, Wang Shui-lin and Gao Xiang and other joint performances.  The film tells the story of Xia Xiling and Zhang Xiao a pair of the most sprouting height difference lovers comedy story.",,,,,,,,,,,,,,
378,Moana,277834,7.5,5893,4.72,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",,,,,,,,,,,,,,
379,Moonlight,376867,7.3,3256,13.141,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",,,,,,,,,,,,,,
380,Miss Peregrine's Home for Peculiar Children,283366,6.7,5479,15.261,A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.,,,,,,,,,,,,,,
381,Miss Sloane,376290,7.4,760,9.846,An ambitious lobbyist faces off against the powerful gun lobby in an attempt to pass gun control legislation.,,,,,,,,,,,,,,
382,Money Monster,303858,6.4,1599,9.056,Financial TV host Lee Gates and his producer Patty are put in an extreme situation when an irate investor takes over their studio.,,,,,,,,,,,,,,
383,A Monster Calls,258230,7.1,1686,9.641,A boy imagines a monster that helps him deal with his difficult life and see the world in a different way.,,,,,,,,,,,,,,
384,Morgan,377264,5.7,752,9.043,A corporate risk-management consultant must determine whether or not to terminate an artificial being's life that was made in a laboratory environment.,,,,,,,,,,,,,,
384,Morgan,151693,6.6,11,0.766,"Morgan is the inspiring story of Morgan Oliver, a young athlete determined that a bicycle accident that left him paralyzed will not change him. He takes a chance on love when he meets Dean Kagen on a basketball court. Dean helps Morgan train for the same race in which he had his accident. But when he sees that Morgan will risk everything to win, Dean walks out. Left alone to face the race and demons that caused his accident, Morgan teeters between what he needs and what he wants. Can he find the strength to pull himself back up again?",,,,,,,,,,,,,,
385,My Life as a Zucchini,393559,7.8,484,6.533,"After his mother’s death, Zucchini is befriended by a kind police officer, Raymond, who accompanies him to his new foster home filled with other orphans his age. There, with the help of his newfound friends, Zucchini eventually learns to trust and love as he searches for a new family of his own.",,,,,,,,,,,,,,
386,The Neighbor,403642,5.8,102,4.842,"In the town of Cutter, most people keep to themselves. But when John comes home to find his girlfriend missing, he sneaks into his neighbor's house, finding his girlfriend and several other kidnapped people tied up in the basement. When the neighbor come home, John is forced to get out of the house alive and lead the group to safety.",,,,,,,,,,,,,,
386,The Neighbor,415311,4.6,17,2.186,"A middle-aged man in a stagnant marriage, finds his life upended when an attractive young woman and her seemingly abusive husband move in next door.",,,,,,,,,,,,,,
386,The Neighbor,422129,0,0,0.6,Improvised film about an ex-kidnapper trying to fit back into 'normal' society but he finds himself repeating the same patterns from his past of observation and monitoring with his next door neighbors.,,,,,,,,,,,,,,
386,The Neighbor,193227,7,1,0.6,"A story that drifts between the lives of five generations of mothers and daughters, 'The Neighbor' takes its audience on an unexpected journey. At the center is a the story of Shirin, a dancer with unfulfilled dreams, and her fateful connection with her next door neighbor, Leila, a young woman with a small secret. Shirin struggles to come to terms with her estranged mother as Leila struggles to reconcile present life circumstances with her yearnings for a better future.",,,,,,,,,,,,,,
387,The Neon Demon,301365,6.5,1721,7.299,"When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has.",,,,,,,,,,,,,,
388,Nerve,328387,7.1,4000,12.169,"Industrious high school senior, Vee Delmonico, has had it with living life on the sidelines. When pressured by friends to join the popular online game Nerve, Vee decides to sign up for just one dare in what seems like harmless fun. But as she finds herself caught up in the thrill of the adrenaline-fueled competition partnered with a mysterious stranger, the game begins to take a sinister turn with increasingly dangerous acts, leading her into a high stakes finale that will determine her entire future.",,,,,,,,,,,,,,
388,Nerve,199825,5.3,4,0.717,"Jakob Evans suffers an emotional breakdown after the death of his wife in a car accident. His loss and pain runs deep as he claims to have found her in bed with another man just before she died. Unable to accept her death and her infidelity, Jakob decides his only chance at closure is to find the man she was sleeping with to help him comprehend what they shared. With the help of Grace, a promiscuous and troubled girl, Jakob starts to put together the pieces of the puzzle and track down his wife's lover.",,,,,,,,,,,,,,
388,Nerve,455240,10,1,0.6,"Josh Biggs (Tyler Langdon, The Incredible Burt Wonderstone) is a young man riddled with severe anxiety. When he agrees to be the subject of an experiment pertaining to the treatment of social anxiety disorder, he hopes it will be the end of his troubles... and a way to get closer to its pretty conductor, Aurora Pilar (Hollywood Reel Independent Film Festival Best Actress"" winner", Laura Alexandra Ramos). Little does he know, he's about to endure the battle of his life. In a performance that skillfully juggles drama and comedy," Langdon leads a colorful cast in this poignant character study. Nerve is an ""instant indie classic"" that takes real risks.""",,,,,,,,,,,
389,The Nice Guys,290250,7,3657,11.747,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,,,,,,,,,,,,,,
390,Nine Lives,322240,5.6,455,7.417,A stuffy businessman finds himself trapped inside the body of his family's cat.,,,,,,,,,,,,,,
390,Nine Lives,354163,0,0,0.6,POV videos captured from a mobile phone piece together the final years of a teenage boy whilst also chronicling the lives and deaths of eight cats.,,,,,,,,,,,,,,
391,Nocturnal Animals,340666,7.4,3497,14.54,"Susan Morrow receives a book manuscript from her ex-husband – a man she left 20 years earlier – asking for her opinion of his writing. As she reads, she is drawn into the fictional life of Tony Hastings, a mathematics professor whose family vacation turns violent.",,,,,,,,,,,,,,
392,Norm of the North,276905,4.1,169,8.988,"The stereoscopic 3D animated family film Norm"" tells the story of the titular polar bear and his three Arctic lemming buddies", who are forced out into the world once their icy home begins melting and breaking apart. Landing in New York, Norm begins life anew as a performing corporate mascot," only to discover that his new employers are directly responsible for the destruction of his polar home.""",,,,,,,,,,,
393,Nowhere Boys: The Book of Shadows,369406,5.5,16,1.145,"A year after the boys crossed dimensions, discovered magic and battled the restoring demon, they are back home in Bremin and are struggling with everyday teenage life. Felix has high hopes for the four heroes. He wants them to push the limits of their magical ability, working as a team to become masters of the arcane. But although he's unwilling to admit it, the boys have grown apart. The boys, once in perfect magical and elemental alignment, are a tangle of rivalry and distrust.  On the verge of separating, the Nowhere Boys are drawn together for one last spell when Felix discovers a magically sealed 'Book of Shadows'. Unwittingly this releases a powerful force of chaos, and the gang is reluctantly drawn into a showdown that threatens their world and all they love...",,,,,,,,,,,,,,
